1000 34.9
2000 43.8
3000 74.2
4000 90
5000 77.8
6000 92
7000 115.7
8000 118.8
9000 129
10000 111.9
11000 120.2
12000 150.7
13000 123.7
14000 167.3
15000 159.8
16000 184.1
17000 172.2
18000 174.7
19000 190.7
20000 181.2
21000 204.3
22000 227.2
23000 188.9
24000 205.7
25000 175.7
26000 232.3
27000 205.4
28000 202.3
29000 209.2
30000 218.8
31000 217.1
32000 228.9
33000 293.3
34000 196.5
35000 193.9
36000 221
37000 261.7
38000 247.6
39000 214
40000 251.5
41000 278.4
42000 260.5
43000 261.3
44000 217.9
45000 308
46000 337.1
47000 221
48000 294.9
49000 316.6
50000 266.4
51000 246.2
52000 282.5
53000 393.7
54000 307.7
55000 296.9
56000 324.6
57000 310.6
58000 281.4
59000 271.6
60000 365.6
61000 354.1
62000 227.4
63000 303.3
64000 249.1
65000 306.9
66000 313
67000 294.4
68000 408.4
69000 302.5
70000 311.9
71000 341.6
72000 307.8
73000 359.1
74000 330.3
75000 420.5
76000 371.2
77000 281.4
78000 372.8
79000 287.2
80000 345.5
81000 451
82000 433
83000 396.4
84000 374.1
85000 412.9
86000 320.6
87000 334.5
88000 344.3
89000 427.3
90000 297
91000 363.8
92000 423.7
93000 353.8
94000 334.4
95000 323.2
96000 517.7
97000 433.9
98000 362.9
99000 377.9
100000 377.5
