-18.849556	-0.000000
-18.811819	-0.002006
-18.774082	-0.004016
-18.736345	-0.006029
-18.698609	-0.008042
-18.660872	-0.010051
-18.623135	-0.012054
-18.585398	-0.014048
-18.547661	-0.016031
-18.509924	-0.017998
-18.472187	-0.019948
-18.434451	-0.021877
-18.396714	-0.023783
-18.358977	-0.025662
-18.321240	-0.027513
-18.283503	-0.029333
-18.245766	-0.031118
-18.208029	-0.032866
-18.170293	-0.034574
-18.132556	-0.036240
-18.094819	-0.037862
-18.057082	-0.039436
-18.019345	-0.040960
-17.981608	-0.042432
-17.943872	-0.043850
-17.906135	-0.045212
-17.868398	-0.046515
-17.830661	-0.047756
-17.792924	-0.048935
-17.755187	-0.050050
-17.717450	-0.051097
-17.679714	-0.052076
-17.641977	-0.052985
-17.604240	-0.053822
-17.566503	-0.054586
-17.528766	-0.055275
-17.491029	-0.055889
-17.453293	-0.056425
-17.415556	-0.056884
-17.377819	-0.057263
-17.340082	-0.057561
-17.302345	-0.057780
-17.264608	-0.057916
-17.226871	-0.057971
-17.189135	-0.057943
-17.151398	-0.057832
-17.113661	-0.057638
-17.075924	-0.057361
-17.038187	-0.057001
-17.000450	-0.056559
-16.962713	-0.056033
-16.924977	-0.055425
-16.887240	-0.054735
-16.849503	-0.053965
-16.811766	-0.053113
-16.774029	-0.052182
-16.736292	-0.051172
-16.698556	-0.050085
-16.660819	-0.048922
-16.623082	-0.047683
-16.585345	-0.046370
-16.547608	-0.044986
-16.509871	-0.043531
-16.472134	-0.042007
-16.434398	-0.040416
-16.396661	-0.038760
-16.358924	-0.037041
-16.321187	-0.035261
-16.283450	-0.033423
-16.245713	-0.031529
-16.207977	-0.029580
-16.170240	-0.027581
-16.132503	-0.025532
-16.094766	-0.023438
-16.057029	-0.021300
-16.019292	-0.019122
-15.981555	-0.016906
-15.943819	-0.014656
-15.906082	-0.012374
-15.868345	-0.010064
-15.830608	-0.007728
-15.792871	-0.005370
-15.755134	-0.002993
-15.717397	-0.000600
-15.679661	0.001805
-15.641924	0.004219
-15.604187	0.006639
-15.566450	0.009061
-15.528713	0.011481
-15.490976	0.013898
-15.453240	0.016306
-15.415503	0.018703
-15.377766	0.021084
-15.340029	0.023448
-15.302292	0.025789
-15.264555	0.028106
-15.226818	0.030393
-15.189082	0.032649
-15.151345	0.034869
-15.113608	0.037051
-15.075871	0.039191
-15.038134	0.041285
-15.000397	0.043331
-14.962661	0.045326
-14.924924	0.047266
-14.887187	0.049148
-14.849450	0.050970
-14.811713	0.052728
-14.773976	0.054420
-14.736239	0.056043
-14.698503	0.057594
-14.660766	0.059071
-14.623029	0.060471
-14.585292	0.061792
-14.547555	0.063032
-14.509818	0.064189
-14.472081	0.065259
-14.434345	0.066242
-14.396608	0.067136
-14.358871	0.067939
-14.321134	0.068649
-14.283397	0.069264
-14.245660	0.069784
-14.207924	0.070207
-14.170187	0.070532
-14.132450	0.070758
-14.094713	0.070885
-14.056976	0.070910
-14.019239	0.070835
-13.981502	0.070658
-13.943766	0.070380
-13.906029	0.069999
-13.868292	0.069516
-13.830555	0.068932
-13.792818	0.068245
-13.755081	0.067458
-13.717344	0.066570
-13.679608	0.065582
-13.641871	0.064495
-13.604134	0.063309
-13.566397	0.062027
-13.528660	0.060649
-13.490923	0.059177
-13.453187	0.057612
-13.415450	0.055956
-13.377713	0.054210
-13.339976	0.052378
-13.302239	0.050460
-13.264502	0.048459
-13.226765	0.046378
-13.189029	0.044218
-13.151292	0.041983
-13.113555	0.039675
-13.075818	0.037297
-13.038081	0.034853
-13.000344	0.032344
-12.962608	0.029774
-12.924871	0.027147
-12.887134	0.024466
-12.849397	0.021734
-12.811660	0.018954
-12.773923	0.016132
-12.736186	0.013269
-12.698450	0.010371
-12.660713	0.007441
-12.622976	0.004482
-12.585239	0.001499
-12.547502	-0.001504
-12.509765	-0.004522
-12.472028	-0.007553
-12.434292	-0.010591
-12.396555	-0.013633
-12.358818	-0.016674
-12.321081	-0.019709
-12.283344	-0.022735
-12.245607	-0.025747
-12.207871	-0.028741
-12.170134	-0.031713
-12.132397	-0.034658
-12.094660	-0.037571
-12.056923	-0.040449
-12.019186	-0.043288
-11.981449	-0.046082
-11.943713	-0.048829
-11.905976	-0.051523
-11.868239	-0.054160
-11.830502	-0.056737
-11.792765	-0.059250
-11.755028	-0.061694
-11.717292	-0.064065
-11.679555	-0.066361
-11.641818	-0.068576
-11.604081	-0.070708
-11.566344	-0.072753
-11.528607	-0.074707
-11.490870	-0.076568
-11.453134	-0.078331
-11.415397	-0.079994
-11.377660	-0.081554
-11.339923	-0.083007
-11.302186	-0.084352
