-18.8495559215	-0.0000000000
-18.8118568097	-0.0020035334
-18.7741576979	-0.0040122602
-18.7364585860	-0.0060233573
-18.6987594742	-0.0080339869
-18.6610603623	-0.0100413005
-18.6233612505	-0.0120424427
-18.5856621386	-0.0140345555
-18.5479630268	-0.0160147818
-18.5102639150	-0.0179802701
-18.4725648031	-0.0199281776
-18.4348656913	-0.0218556751
-18.3971665794	-0.0237599505
-18.3594674676	-0.0256382127
-18.3217683557	-0.0274876962
-18.2840692439	-0.0293056643
-18.2463701320	-0.0310894137
-18.2086710202	-0.0328362780
-18.1709719084	-0.0345436317
-18.1332727965	-0.0362088942
-18.0955736847	-0.0378295332
-18.0578745728	-0.0394030690
-18.0201754610	-0.0409270775
-17.9824763491	-0.0423991944
-17.9447772373	-0.0438171186
-17.9070781255	-0.0451786153
-17.8693790136	-0.0464815201
-17.8316799018	-0.0477237415
-17.7939807899	-0.0489032648
-17.7562816781	-0.0500181550
-17.7185825662	-0.0510665596
-17.6808834544	-0.0520467119
-17.6431843426	-0.0529569336
-17.6054852307	-0.0537956377
-17.5677861189	-0.0545613308
-17.5300870070	-0.0552526157
-17.4923878952	-0.0558681942
-17.4546887833	-0.0564068685
-17.4169896715	-0.0568675440
-17.3792905597	-0.0572492308
-17.3415914478	-0.0575510461
-17.3038923360	-0.0577722151
-17.2661932241	-0.0579120731
-17.2284941123	-0.0579700669
-17.1907950004	-0.0579457558
-17.1530958886	-0.0578388128
-17.1153967768	-0.0576490254
-17.0776976649	-0.0573762969
-17.0399985531	-0.0570206464
-17.0022994412	-0.0565822097
-16.9646003294	-0.0560612392
-16.9269012175	-0.0554581046
-16.8892021057	-0.0547732925
-16.8515029939	-0.0540074064
-16.8138038820	-0.0531611663
-16.7761047702	-0.0522354082
-16.7384056583	-0.0512310834
-16.7007065465	-0.0501492579
-16.6630074346	-0.0489911112
-16.6253083228	-0.0477579353
-16.5876092110	-0.0464511331
-16.5499100991	-0.0450722174
-16.5122109873	-0.0436228089
-16.4745118754	-0.0421046348
-16.4368127636	-0.0405195263
-16.3991136517	-0.0388694172
-16.3614145399	-0.0371563410
-16.3237154281	-0.0353824291
-16.2860163162	-0.0335499079
